豆瓣ID,电影名称,最后失败原因,首次失败轮次,最后失败轮次,失败轮次数,永久失败轮次数,连续永久失败轮次数,状态,首次失败时间,最后更新时间
1298487,寅次郎的故事1,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T04:57:16+08:00,2026-07-23T19:22:22+08:00
27047871,记忆之夜,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T06:58:14+08:00,2026-07-23T19:22:34+08:00
24529254,莫比乌斯,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T07:55:37+08:00,2026-07-23T19:22:47+08:00
1292337,无人知晓,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T08:36:16+08:00,2026-07-23T19:22:56+08:00
1432699,琳达！琳达！琳达！,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T09:49:33+08:00,2026-07-23T19:23:06+08:00
25821634,雷神3：诸神黄昏,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T10:49:01+08:00,2026-07-23T19:23:21+08:00
24695277,一个人的武林,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T11:48:38+08:00,2026-07-23T19:23:34+08:00
26614893,完美陌生人,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T12:46:33+08:00,2026-07-23T19:23:48+08:00
24751754,前任攻略,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T13:59:29+08:00,2026-07-23T19:24:02+08:00
25884801,记忆大师,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T15:49:33+08:00,2026-07-23T19:24:12+08:00
1294621,神秘拼图,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T16:45:13+08:00,2026-07-23T19:25:24+08:00
36399203,野孩子,HTTP 400,1,1,1,1,0,已恢复,2026-07-22T18:49:07+08:00,2026-07-23T19:25:39+08:00
