豆瓣ID,电影名称,搜索评分,URL,采集时间
37450627,痴迷,7.7,https://movie.douban.com/subject/37450627/,
36680492,大濛,8.1,https://movie.douban.com/subject/36680492/,
36650563,被俘的塞万提斯,6.7,https://movie.douban.com/subject/36650563/,
37193887,电动维纳斯,7.7,https://movie.douban.com/subject/37193887/,
38422704,神奇数字马戏团：谢幕演出,7.4,https://movie.douban.com/subject/38422704/,
36576765,双喜,7.4,https://movie.douban.com/subject/36576765/,
36474027,镖人：风起大漠,7.5,https://movie.douban.com/subject/36474027/,
36918069,绵羊侦探团,7.5,https://movie.douban.com/subject/36918069/,
36217763,我的妈耶,6.3,https://movie.douban.com/subject/36217763/,
36396335,金谍行动,6.1,https://movie.douban.com/subject/36396335/,
37116612,世界的主人,9.0,https://movie.douban.com/subject/37116612/,
33455977,真爱留声,7.1,https://movie.douban.com/subject/33455977/,
37381022,我住在凡尔赛的日子,8.3,https://movie.douban.com/subject/37381022/,
36978169,与王生活的男人,7.5,https://movie.douban.com/subject/36978169/,
37019075,蒙特利尔，我的美人,7.6,https://movie.douban.com/subject/37019075/,
36995126,爱情抓马,6.9,https://movie.douban.com/subject/36995126/,
37233517,杀木池,5.3,https://movie.douban.com/subject/37233517/,
35948919,迈克尔·杰克逊：巨星之路,7.5,https://movie.douban.com/subject/35948919/,
37226826,幽旅巫咒,6.1,https://movie.douban.com/subject/37226826/,
37233382,三声再见,7.8,https://movie.douban.com/subject/37233382/,
37332784,我，许可,8.1,https://movie.douban.com/subject/37332784/,
35754057,真人快打2,5.9,https://movie.douban.com/subject/35754057/,
37213104,东京出租车,8.0,https://movie.douban.com/subject/37213104/,
36926954,杀的就是你,6.8,https://movie.douban.com/subject/36926954/,
35010610,挽救计划,8.6,https://movie.douban.com/subject/35010610/,
36367195,家弑服务,7.1,https://movie.douban.com/subject/36367195/,
37312482,爱上平行时空的你,8.0,https://movie.douban.com/subject/37312482/,
37162852,糖精,6.0,https://movie.douban.com/subject/37162852/,
37067461,女士优先,6.3,https://movie.douban.com/subject/37067461/,
35159709,天才游戏,5.9,https://movie.douban.com/subject/35159709/,
36929221,木乃伊,6.1,https://movie.douban.com/subject/36929221/,
34864022,请求救援,6.6,https://movie.douban.com/subject/34864022/,
4092781,无可奈何,7.3,https://movie.douban.com/subject/4092781/,
37249352,人夫总动员,6.1,https://movie.douban.com/subject/37249352/,
36832900,准备好了没2：我来了,6.0,https://movie.douban.com/subject/36832900/,
37346409,她回来的那天,7.5,https://movie.douban.com/subject/37346409/,
38423461,心门之外,7.4,https://movie.douban.com/subject/38423461/,
